;"GOVERNO DO ESTADO DE SÃO PAULO
CAIXA BENEFICENTE DA POLÍCIA MILITAR DO ESTADO
RUA ALFREDO MAIA, 218 - LUZ - SP - TEL: (11) 3315-3000
AT – 1 – SAÚDE";;;;;;;;;;;;;;
;;DEMONSTRATIVO DE DESPESAS X MOVIMENTO FISICO;;;;;;;;;;;;;
;;Órgão Gestor: Caixa Beneficente da Polícia Militar - CBPM;;;;;;;;;;;;;
;;Organização da Sociedade Civil: Associação Cruz Azul de São Paulo - CRUZ AZUL;;;;;;;;;;;;;
;;Termo de Colaboração: Nº CBPM - 001/01/2020 - Prazo: 60 meses - Vigência: 01/05/20 a 30/04/26;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;"Objeto da Parceria:  O presente Termo de Colaboração tem por objeto a transferência de recursos financeiros à CRUZ AZUL, destinados à execução das ações próprias do regime de Assistência Médico-Hospitalar - AMH aos beneficiários dos contribuintes da CBPM nos termos do artigo 30 da Lei nº 452, de 2 de outubro de 1974, com as alterações promovidas pela Lei Complementar nº 1.353, de 10 de janeiro de 2020,  e pelo Plano de Trabalho, que passa a fazer parte integrante indissociável deste ajuste como Anexo 1, compreendendo: I - atendimento médico ambulatorial; II - atendimento hospitalar com obstetrícia.";;;;;;;;;;;;;;
;Nota: Termo de Colaboração nº CBPM 001/01/2020: Cláusula Sétima § 7º: A CRUZ AZUL, nos termos do seu Estatuto poderá, com recursos próprios, e a título de subvenção, cobrir déficits na assistência à saúde dos usuários vinculados à CBPM.;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;DEMONSTRATIVO DAS DESPESAS - 2025 (FINANCEIRO);;;;;;;;;;;;;;
;TERMO DE COLABORAÇÃO Nº CBPM 001/01/2020;;;;;;;;;;;;;;
;CATEGORIA OU FINALIDADE DA DESPESA;JANEIRO;FEVEREIRO;MARÇO;ABRIL;MAIO;JUNHO ;JULHO;AGOSTO;SETEMBRO;OUTUBRO;NOVEMBRO;DEZEMBRO;TOTAL;
;RECURSOS HUMANOS ; 7.674.984,71 ; 7.396.647,00 ; 7.510.133,06 ; 7.816.765,54 ; 7.172.622,24 ; 8.195.569,16 ;;;;;;; 45.766.721,71 ;
;RECURSOS HUMANOS; -   ; -   ; -   ; -   ; -   ; 33,54 ;;;;;;; 33,54 ;
;MEDICAMENTOS; 2.514.303,86 ; 2.740.495,83 ; 2.690.388,10 ; 2.896.467,81 ; 2.089.619,41 ; 2.237.143,78 ;;;;;;; 15.168.418,79 ;
;MATERIAIS MÉDICO-HOSPITALARES; 1.574.438,26 ; 1.450.216,00 ; 1.742.726,25 ; 1.660.044,97 ; 679.883,03 ; 1.377.270,92 ;;;;;;; 8.484.579,43 ;
;GÊNEROS ALIMENTÍCIOS; 166.984,69 ; 262.828,35 ; 408.501,02 ; 232.211,48 ; 192.929,11 ; 214.438,58 ;;;;;;; 1.477.893,23 ;
